Category: All categories

Region,disc golf: (2019)
Maine,100
Vermont,77
Oregon,66
Kansas,61
Colorado,60
New Hampshire,58
Michigan,57
Iowa,54
Wisconsin,52
Idaho,46
Missouri,44
North Carolina,43
Tennessee,42
Minnesota,41
Utah,40
West Virginia,39
Oklahoma,37
Washington,37
Kentucky,36
Alaska,35
Arkansas,35
Ohio,34
Nebraska,34
Montana,33
South Dakota,32
South Carolina,32
Indiana,31
Alabama,30
New Mexico,26
Illinois,25
Massachusetts,24
Pennsylvania,23
Mississippi,23
Georgia,23
Texas,23
Delaware,23
Connecticut,23
Arizona,22
Virginia,22
North Dakota,21
Florida,19
California,18
Rhode Island,18
Wyoming,18
Nevada,17
Maryland,16
Louisiana,15
New York,12
New Jersey,10
Hawaii,10
District of Columbia,6
