district,school_name,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,exclusionary,exclusionary_ps,district_size,d_black,d_hisp,d_white,d_esol,d_migrant,d_frl,year,fac_schtype
Appling County,Appling County High School,983,64.09,22,13,62,5,0.8,100,0.101729399796541,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,2016,H
Appling County,Appling County Elementary School,546,80.22,30,20,44,9,10.1,11,0.0201465201465201,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,2016,E
Appling County,Appling County Middle School,752,71.41,20,12,64,4,1.5,37,0.0492021276595745,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,2016,M
Appling County,Appling County Primary School,572,81.47,29,22,44,11,19.8,0,0,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,2016,E
Appling County,Altamaha Elementary School,358,66.2,7,8,83,2,5.3,4,0.0111731843575419,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,2016,E
Appling County,Fourth District Elementary School,171,77.19,11,14,70,2,10.5,0,0,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,2016,E
Atkinson County,Atkinson County High School,458,84.93,19,33,48,1,0.4,47,0.102620087336245,1619,16.9592340951204,36.8727609635578,44.8529956763434,9.92452130945028,4.82890673255096,43.8528103767758,2016,H
Atkinson County,Atkinson County Middle School,378,84.92,15,35,48,5,3.7,32,0.0846560846560847,1619,16.9592340951204,36.8727609635578,44.8529956763434,9.92452130945028,4.82890673255096,43.8528103767758,2016,M
Atkinson County,Willacoochee Elementary School,193,,25,31,43,10,13,1,0.00518134715025907,1619,16.9592340951204,36.8727609635578,44.8529956763434,9.92452130945028,4.82890673255096,43.8528103767758,2016,E
Atkinson County,Pearson Elementary School,590,,14,43,41,6,20.3,62,0.105084745762712,1619,16.9592340951204,36.8727609635578,44.8529956763434,9.92452130945028,4.82890673255096,43.8528103767758,2016,E
Bacon County,Bacon County Primary School,533,86.49,23,15,56,3,10.5,7,0.0131332082551595,2046,20.8250244379277,12.010752688172,63.1353861192571,3.9786412512219,2.72140762463343,73.948137829912,2016,E
Bacon County,Bacon County Middle School,460,66.96,22,10,66,3,0.7,104,0.226086956521739,2046,20.8250244379277,12.010752688172,63.1353861192571,3.9786412512219,2.72140762463343,73.948137829912,2016,M
Bacon County,Bacon County High School,570,57.19,16,10,71,2,0,130,0.228070175438597,2046,20.8250244379277,12.010752688172,63.1353861192571,3.9786412512219,2.72140762463343,73.948137829912,2016,H
Bacon County,Bacon County Elementary School,483,86.54,23,13,59,3,4.6,1,0.0020703933747412,2046,20.8250244379277,12.010752688172,63.1353861192571,3.9786412512219,2.72140762463343,73.948137829912,2016,E
Baker County,Baker County K12 School,308,,60,12,22,3,0,0,0,308,60,12,22,0,3,0,2016,K12
Baldwin County,Oak Hill MS,1117,83.89,69,2,25,0,0,653,0.584601611459266,6442,64.4875814964297,1.77180999689537,28.7522508537721,0.537131325675256,0,72.5395048121701,2016,M
Baldwin County,Eagle Ridge Elementary School,769,,82,0,15,0,0,221,0.287386215864759,6442,64.4875814964297,1.77180999689537,28.7522508537721,0.537131325675256,0,72.5395048121701,2016,
Baldwin County,Baldwin High School,1266,83.97,69,2,24,0,0.2,399,0.315165876777251,6442,64.4875814964297,1.77180999689537,28.7522508537721,0.537131325675256,0,72.5395048121701,2016,H
Baldwin County,Midway Elementary School,1628,87.83,63,0,32,0,0,80,0.0491400491400491,6442,64.4875814964297,1.77180999689537,28.7522508537721,0.537131325675256,0,72.5395048121701,2016,E
Baldwin County,Midway Elementary School,1628,87.83,63,0,32,0,0,80,0.0491400491400491,6442,64.4875814964297,1.77180999689537,28.7522508537721,0.537131325675256,0,72.5395048121701,2016,E
Baldwin County,Blandy Hills Elementary School,744,83.6,58,4,32,0,3.2,57,0.0766129032258065,6442,64.4875814964297,1.77180999689537,28.7522508537721,0.537131325675256,0,72.5395048121701,2016,
Baldwin County,Creekside Elementary School,918,67.65,46,4,43,0,0.9,117,0.127450980392157,6442,64.4875814964297,1.77180999689537,28.7522508537721,0.537131325675256,0,72.5395048121701,2016,
Banks County,Banks County Middle School,656,66.01,3,8,87,0,2.3,0,0,2802,2.5581727337616,8.53854389721627,85.7084225553176,3.2866880799429,0,64.0260778015703,2016,M
Banks County,Banks County Elementary School,637,67.97,2,8,87,0,3.3,12,0.0188383045525903,2802,2.5581727337616,8.53854389721627,85.7084225553176,3.2866880799429,0,64.0260778015703,2016,E
Banks County,Banks County High School,908,57.05,3,9,85,0,1.4,31,0.0341409691629956,2802,2.5581727337616,8.53854389721627,85.7084225553176,3.2866880799429,0,64.0260778015703,2016,H
Banks County,Banks County Primary School,601,68.22,2,9,84,0,7.2,0,0,2802,2.5581727337616,8.53854389721627,85.7084225553176,3.2866880799429,0,64.0260778015703,2016,E
Barrow County,Apalachee High School,1732,56,13,18,61,0,2.1,182,0.105080831408776,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,H
Barrow County,County Line Elementary School,882,70.75,11,21,58,0,13.5,20,0.0226757369614512,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,E
Barrow County,Haymon-Morris Middle School,726,54.82,14,17,62,0,3.3,42,0.0578512396694215,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,M
Barrow County,Bear Creek Middle School,1930,60.02,17,15,59,0,2.2,56,0.0290155440414508,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,M
Barrow County,Bear Creek Middle School,1930,60.02,17,15,59,0,2.2,56,0.0290155440414508,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,M
Barrow County,Kennedy Elementary School,783,69.48,17,20,54,0,11.4,21,0.0268199233716475,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,E
Barrow County,Bramlett Elementary School,680,42.35,6,14,69,0,8.4,13,0.0191176470588235,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,E
Barrow County,Westside Middle School,1156,66.03,10,17,62,0,2.5,80,0.069204152249135,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,M
Barrow County,Westside Middle School,1156,66.03,10,17,62,0,2.5,80,0.069204152249135,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,M
Barrow County,Bethlehem Elementary School,1300,58.31,11,20,61,0,10.2,23,0.0176923076923077,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,E
Barrow County,Bethlehem Elementary School,1300,58.31,11,20,61,0,10.2,23,0.0176923076923077,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,E
Barrow County,Russell Middle School,752,55.72,11,14,62,0,3.2,73,0.0970744680851064,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,M
Barrow County,Yargo Elementary School,802,49.5,14,15,62,0,9.6,19,0.0236907730673317,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,E
Barrow County,Auburn Elementary School,705,73.62,6,16,63,0,10.9,38,0.0539007092198582,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,E
Barrow County,Winder-Barrow High School,1897,51.71,14,14,61,0,1.8,177,0.0933052187664734,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,H
Barrow County,Holsenbeck Elementary School,877,63.06,14,16,59,0,8.1,58,0.0661345496009122,15105,12.9187024164184,16.5173783515392,60.7712677921218,5.95990069513406,0,58.786350877193,2016,E
