school_name,district,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,exclusionary,exclusionary_ps,district_size,d_black,d_hisp,d_white,d_esol,d_migrant,d_frl,school_name_unique,year,fac_schtype
Appling County High School,Appling County,984,64.94,20,13,63,5,0.8,145,0.147357723577236,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,Appling County High School_Appling County,2017,H
Appling County Elementary School,Appling County,576,81.94,29,21,45,8,10.9,0,0,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,Appling County Elementary School_Appling County,2017,E
Appling County Middle School,Appling County,773,71.93,22,13,61,5,2.3,41,0.0530401034928849,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,Appling County Middle School_Appling County,2017,M
Appling County Primary School,Appling County,507,83.23,28,23,43,10,17.6,0,0,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,Appling County Primary School_Appling County,2017,E
Altamaha Elementary School,Appling County,361,69.81,9,8,80,2,4.2,0,0,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,Altamaha Elementary School_Appling County,2017,E
Fourth District Elementary School,Appling County,178,69.66,10,10,74,3,6.2,2,0.0112359550561798,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,Fourth District Elementary School_Appling County,2017,E
Atkinson County High School,Atkinson County,485,80.21,18,35,45,2,2.7,31,0.0639175257731959,1637,15.6560781918143,38.2987171655467,44.411117898595,10.5948686621869,5.02382406841784,84.5450458155162,Atkinson County High School_Atkinson County,2017,H
Atkinson County Middle School,Atkinson County,366,85.52,16,32,49,4,3.3,22,0.0601092896174863,1637,15.6560781918143,38.2987171655467,44.411117898595,10.5948686621869,5.02382406841784,84.5450458155162,Atkinson County Middle School_Atkinson County,2017,M
Willacoochee Elementary School,Atkinson County,179,89.94,21,34,45,12,10.6,0,0,1637,15.6560781918143,38.2987171655467,44.411117898595,10.5948686621869,5.02382406841784,84.5450458155162,Willacoochee Elementary School_Atkinson County,2017,E
Pearson Elementary School,Atkinson County,607,85.83,12,46,41,6,21.3,41,0.0675453047775947,1637,15.6560781918143,38.2987171655467,44.411117898595,10.5948686621869,5.02382406841784,84.5450458155162,Pearson Elementary School_Atkinson County,2017,E
