Category: All categories

Region,disc golf: (2017)
Maine,100
Vermont,77
Colorado,65
Michigan,65
Wisconsin,62
Iowa,60
Oregon,56
Minnesota,56
Kansas,54
New Hampshire,52
Idaho,52
Missouri,51
North Carolina,48
Utah,46
Oklahoma,44
Alabama,40
Tennessee,40
Kentucky,39
South Carolina,37
Washington,36
Arkansas,36
Nebraska,35
Ohio,34
Indiana,34
South Dakota,33
West Virginia,32
Mississippi,32
Alaska,32
Texas,29
North Dakota,29
Illinois,28
Wyoming,26
Montana,26
Virginia,25
Georgia,24
Massachusetts,23
Arizona,23
Pennsylvania,22
New Mexico,22
Rhode Island,21
District of Columbia,21
Delaware,20
California,20
Connecticut,19
Nevada,19
Florida,17
Louisiana,16
Maryland,13
Hawaii,12
New York,11
New Jersey,9
