date,searches
2004-01,28
2004-02,22
2004-03,36
2004-04,54
2004-05,62
2004-06,53
2004-07,49
2004-08,52
2004-09,41
2004-10,29
2004-11,26
2004-12,24
2005-01,21
2005-02,28
2005-03,42
2005-04,56
2005-05,60
2005-06,47
2005-07,55
2005-08,52
2005-09,34
2005-10,35
2005-11,27
2005-12,22
2006-01,16
2006-02,28
2006-03,30
2006-04,55
2006-05,52
2006-06,59
2006-07,60
2006-08,48
2006-09,39
2006-10,41
2006-11,25
2006-12,25
2007-01,25
2007-02,27
2007-03,42
2007-04,51
2007-05,70
2007-06,53
2007-07,58
2007-08,47
2007-09,51
2007-10,38
2007-11,32
2007-12,27
2008-01,23
2008-02,28
2008-03,39
2008-04,47
2008-05,47
2008-06,58
2008-07,54
2008-08,61
2008-09,37
2008-10,34
2008-11,24
2008-12,24
2009-01,27
2009-02,33
2009-03,40
2009-04,53
2009-05,58
2009-06,62
2009-07,58
2009-08,60
2009-09,49
2009-10,30
2009-11,31
2009-12,28
2010-01,29
2010-02,26
2010-03,41
2010-04,56
2010-05,54
2010-06,55
2010-07,53
2010-08,51
2010-09,43
2010-10,34
2010-11,33
2010-12,32
2011-01,32
2011-02,39
2011-03,39
2011-04,59
2011-05,66
2011-06,70
2011-07,63
2011-08,60
2011-09,47
2011-10,44
2011-11,34
2011-12,31
2012-01,34
2012-02,35
2012-03,54
2012-04,68
2012-05,69
2012-06,76
2012-07,64
2012-08,59
2012-09,48
2012-10,37
2012-11,30
2012-12,34
2013-01,32
2013-02,32
2013-03,40
2013-04,51
2013-05,66
2013-06,73
2013-07,66
2013-08,67
2013-09,46
2013-10,42
2013-11,33
2013-12,31
2014-01,32
2014-02,34
2014-03,41
2014-04,54
2014-05,68
2014-06,67
2014-07,68
2014-08,63
2014-09,47
2014-10,39
2014-11,31
2014-12,33
2015-01,32
2015-02,33
2015-03,45
2015-04,60
2015-05,66
2015-06,67
2015-07,71
2015-08,67
2015-09,54
2015-10,41
2015-11,33
2015-12,34
2016-01,32
2016-02,37
2016-03,54
2016-04,60
2016-05,68
2016-06,70
2016-07,69
2016-08,58
2016-09,46
2016-10,43
2016-11,35
2016-12,30
2017-01,33
2017-02,41
2017-03,47
2017-04,62
2017-05,65
2017-06,70
2017-07,70
2017-08,61
2017-09,53
2017-10,44
2017-11,35
2017-12,32
2018-01,33
2018-02,34
2018-03,47
2018-04,50
2018-05,60
2018-06,63
2018-07,62
2018-08,58
2018-09,52
2018-10,38
2018-11,32
2018-12,31
2019-01,32
2019-02,34
2019-03,48
2019-04,56
2019-05,61
2019-06,65
2019-07,61
2019-08,61
2019-09,51
2019-10,40
2019-11,35
2019-12,33
2020-01,33
2020-02,45
2020-03,52
2020-04,56
2020-05,79
2020-06,100
2020-07,95
2020-08,98
2020-09,87
2020-10,76
2020-11,71
2020-12,65
