school_name,district,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,exclusionary,exclusionary_ps,district_size,d_black,d_hisp,d_white,d_esol,d_migrant,d_frl,school_name_unique,year,fac_schtype
Appling County High School,Appling County,1005,90.35,21,12,63,5,0.9,145,0.144278606965174,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,Appling County High School_Appling County,2018,H
Appling County Elementary School,Appling County,579,90.33,32,20,43,9,12.3,11,0.0189982728842832,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,Appling County Elementary School_Appling County,2018,E
Appling County Middle School,Appling County,784,90.43,23,15,57,6,3.4,88,0.112244897959184,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,Appling County Middle School_Appling County,2018,M
Appling County Primary School,Appling County,489,90.39,29,24,41,9,20,0,0,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,Appling County Primary School_Appling County,2018,E
Altamaha Elementary School,Appling County,373,90.35,7,7,82,2,4.6,3,0.00804289544235925,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,Altamaha Elementary School_Appling County,2018,E
Fourth District Elementary School,Appling County,180,90.56,14,12,72,4,7.2,1,0.00555555555555556,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,Fourth District Elementary School_Appling County,2018,E
Atkinson County High School,Atkinson County,488,80.12,16,36,45,3,2.3,19,0.0389344262295082,1602,15.8551810237204,39.0012484394507,42.7191011235955,11.6961298377029,4.57802746566792,84.4515106117353,Atkinson County High School_Atkinson County,2018,H
Atkinson County Middle School,Atkinson County,356,85.67,15,38,44,4,3.1,2,0.00561797752808989,1602,15.8551810237204,39.0012484394507,42.7191011235955,11.6961298377029,4.57802746566792,84.4515106117353,Atkinson County Middle School_Atkinson County,2018,M
Willacoochee Elementary School,Atkinson County,164,91.26,24,32,43,9,15.2,1,0.00609756097560976,1602,15.8551810237204,39.0012484394507,42.7191011235955,11.6961298377029,4.57802746566792,84.4515106117353,Willacoochee Elementary School_Atkinson County,2018,E
Pearson Elementary School,Atkinson County,594,85.4,14,44,40,5,23.6,23,0.0387205387205387,1602,15.8551810237204,39.0012484394507,42.7191011235955,11.6961298377029,4.57802746566792,84.4515106117353,Pearson Elementary School_Atkinson County,2018,E
Bacon County Primary School,Bacon County,489,86.5,23,15,55,5,9.4,6,0.0122699386503067,2040,21.5857843137255,13.1906862745098,60.3156862745098,4.06632352941177,4.19852941176471,73.3816764705882,Bacon County Primary School_Bacon County,2018,E
Bacon County Middle School,Bacon County,493,66.73,23,12,61,5,0.4,70,0.141987829614604,2040,21.5857843137255,13.1906862745098,60.3156862745098,4.06632352941177,4.19852941176471,73.3816764705882,Bacon County Middle School_Bacon County,2018,M
Bacon County High School,Bacon County,577,57.02,18,12,67,3,0.9,34,0.0589254766031196,2040,21.5857843137255,13.1906862745098,60.3156862745098,4.06632352941177,4.19852941176471,73.3816764705882,Bacon County High School_Bacon County,2018,H
Bacon County Elementary School,Bacon County,481,86.49,23,14,57,4,6.2,19,0.0395010395010395,2040,21.5857843137255,13.1906862745098,60.3156862745098,4.06632352941177,4.19852941176471,73.3816764705882,Bacon County Elementary School_Bacon County,2018,E
Baker County K12 School,Baker County,265,58.77,65,11,20,0,0,0,0,267,64.8876404494382,10.9176029962547,20.2247191011236,0,0,58.9966666666667,Baker County K12 School_Baker County,2018,K12
Baker County Learning Center,Baker County,2,89.03,50,0,50,0,0,0,0,267,64.8876404494382,10.9176029962547,20.2247191011236,0,0,58.9966666666667,Baker County Learning Center_Baker County,2018,
Oak Hill MS,Baldwin County,1141,76.95,72,2,21,0,0.4,534,0.468010517090272,4934,66.3871098500203,2.48277259829753,25.7612484799351,0.587798946088367,0,72.4770794487232,Oak Hill MS_Baldwin County,2018,M
Baldwin High School,Baldwin County,1180,65,71,2,23,0,0.3,317,0.26864406779661,4934,66.3871098500203,2.48277259829753,25.7612484799351,0.587798946088367,0,72.4770794487232,Baldwin High School_Baldwin County,2018,H
Lakeview Academy,Baldwin County,783,65.77,64,5,26,0,1.1,136,0.173690932311622,4934,66.3871098500203,2.48277259829753,25.7612484799351,0.587798946088367,0,72.4770794487232,Lakeview Academy_Baldwin County,2018,E
Midway Hills Primary,Baldwin County,585,83.08,62,2,28,0,2.1,166,0.283760683760684,4934,66.3871098500203,2.48277259829753,25.7612484799351,0.587798946088367,0,72.4770794487232,Midway Hills Primary_Baldwin County,2018,E
Lakeview Primary,Baldwin County,639,71.05,58,3,33,0,0,145,0.226917057902973,4934,66.3871098500203,2.48277259829753,25.7612484799351,0.587798946088367,0,72.4770794487232,Lakeview Primary_Baldwin County,2018,E
Midway Hills Academy,Baldwin County,606,78.55,63,1,30,0,0,188,0.31023102310231,4934,66.3871098500203,2.48277259829753,25.7612484799351,0.587798946088367,0,72.4770794487232,Midway Hills Academy_Baldwin County,2018,E
Banks County Middle School,Banks County,668,61.08,2,9,86,0,1.2,40,0.0598802395209581,2776,1.77233429394813,8.58897694524496,86.289265129683,2.50799711815562,0,60.5568047550432,Banks County Middle School_Banks County,2018,M
Banks County Elementary School,Banks County,632,70.41,1,10,84,0,4.7,1,0.00158227848101266,2776,1.77233429394813,8.58897694524496,86.289265129683,2.50799711815562,0,60.5568047550432,Banks County Elementary School_Banks County,2018,E
Banks County High School,Banks County,885,53.11,2,9,87,0,0.8,29,0.0327683615819209,2776,1.77233429394813,8.58897694524496,86.289265129683,2.50799711815562,0,60.5568047550432,Banks County High School_Banks County,2018,H
Banks County Primary School,Banks County,591,60.58,2,6,88,0,4.2,3,0.0050761421319797,2776,1.77233429394813,8.58897694524496,86.289265129683,2.50799711815562,0,60.5568047550432,Banks County Primary School_Banks County,2018,E
Apalachee High School,Barrow County,1811,51.74,14,20,57,0,3.1,276,0.152401987852015,13351,12.7865328439817,18.3509100441914,58.4464085087259,7.38109504906,0.0407460115347165,58.9693483634185,Apalachee High School_Barrow County,2018,H
County Line Elementary School,Barrow County,544,65.07,7,20,62,1,13.6,15,0.0275735294117647,13351,12.7865328439817,18.3509100441914,58.4464085087259,7.38109504906,0.0407460115347165,58.9693483634185,County Line Elementary School_Barrow County,2018,E
Haymon-Morris Middle School,Barrow County,810,53.46,12,19,61,0,3.2,46,0.0567901234567901,13351,12.7865328439817,18.3509100441914,58.4464085087259,7.38109504906,0.0407460115347165,58.9693483634185,Haymon-Morris Middle School_Barrow County,2018,M
Bear Creek Middle School,Barrow County,757,54.95,14,18,60,0,3.2,13,0.0171730515191546,13351,12.7865328439817,18.3509100441914,58.4464085087259,7.38109504906,0.0407460115347165,58.9693483634185,Bear Creek Middle School_Barrow County,2018,M
Kennedy Elementary School,Barrow County,763,73.26,17,22,50,0,15.5,8,0.0104849279161206,13351,12.7865328439817,18.3509100441914,58.4464085087259,7.38109504906,0.0407460115347165,58.9693483634185,Kennedy Elementary School_Barrow County,2018,E
Bramlett Elementary School,Barrow County,685,45.55,7,16,64,0,12.3,8,0.0116788321167883,13351,12.7865328439817,18.3509100441914,58.4464085087259,7.38109504906,0.0407460115347165,58.9693483634185,Bramlett Elementary School_Barrow County,2018,E
Westside Middle School,Barrow County,763,65.4,13,17,58,0,3.7,84,0.110091743119266,13351,12.7865328439817,18.3509100441914,58.4464085087259,7.38109504906,0.0407460115347165,58.9693483634185,Westside Middle School_Barrow County,2018,M
