Category: All categories

Region,disc golf: (2020)
Maine,100
Kansas,79
Iowa,77
Vermont,74
Wisconsin,72
Minnesota,72
Michigan,71
Colorado,69
Oregon,67
New Hampshire,59
North Carolina,52
Missouri,52
Idaho,49
Oklahoma,49
Tennessee,48
Arkansas,47
South Dakota,46
Utah,44
Ohio,44
Indiana,42
Nebraska,39
Washington,39
Kentucky,38
West Virginia,38
Alabama,36
South Carolina,35
Illinois,33
Montana,33
Delaware,33
Wyoming,33
Pennsylvania,32
Alaska,31
Connecticut,30
Georgia,30
Texas,30
Massachusetts,30
New Mexico,28
Virginia,28
Rhode Island,27
North Dakota,27
Mississippi,26
Arizona,25
Nevada,22
Florida,20
California,20
Maryland,19
Louisiana,16
New York,16
New Jersey,12
Hawaii,12
District of Columbia,4
